ARG_Family	ARG	Primer
16S	16S	HM798937_1_1383
16S	16S	LC124582_1_1424
16S	16S	GQ927630_1_918
16S	16S	FJ680748_1_1374
16S	16S	FJ455902_1_1529
16S	16S	KY355700_1_900
16S	16S	KP308750_18552_19877
16S	16S	MH337785_1
16S	16S	AY779826_1_900
16S	16S	FR685529_1_1448
16S	16S	FJ365469_1_1342
16S	16S	JQ278775_1_1454
16S	16S	MH938429_1
16S	16S	FJ363919_1_1352
16S	16S	FJ516926_1_1472
16S	16S	JN521105_1_1285
16S	16S	KP090991_1_1467
16S	16S	FJ716960_1_1550
16S	16S	MH938447_1
16S	16S	KT381382_1_900
16S	16S	KY898052_1
16S	16S	KY898059_1
16S	16S	FPLP01012084_16_1433
16S	16S	FJ478940_1_1496
16S	16S	b0463
16S	16S	SL1344_RS02425
spike	spike	spike
aac	AAC(2')-Ia	aac_2__-Ia_1_L06156
aac	AAC(2')-Ib	aac_2__-Ib_1_U41471
aac	AAC(2')-Ic	aac_2__-Ic_1_U72714
aac	AAC(2')-Id	aac_2__-Id_1_U72743
aac	AAC(2')-Ie	aac_2__-Ie_1_NC011896
aac	AAC(2')-IIa	aac_2__-IIa_1_AB669090
aac	AAC(3)-I	aac_3_-I_1_AJ877225
aac	AAC(3)-Ia	aac_3_-Ia_1_X15852
aac	AAC(3)-Ib	aac_3_-Ib_1_L06157
aac	AAC(3)-Ib/AAC(6')-Ib''	aac_3_-Ib-aac_6__-Ib__1_AF355189
aac	AAC(3)-Ic	aac_3_-Ic_1_AJ511268
aac	AAC(3)-Id	aac_3_-Id_1_AB114632
aac	AAC(3)-If	aac_3_-If_1_AY884051
aac	AAC(3)-Ig	aac_3_-Ig_1_CP000282
aac	AAC(3)-Ih	aac_3_-Ih_1_CP000490
aac	AAC(3)-Ii	aac_3_-Ii_1_CP000356
aac	AAC(3)-IIa	aac_3_-IIa_1_CP023555
aac	AAC(3)-IIa	aac_3_-IIa_1_X51534
aac	AAC(3)-IIb	aac_3_-IIb_1_M97172
